Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome,LoanIncomeRatio,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
1,0,0,1,0,128000.0,30.0,1.0,1,5849.0,21.884082749187897,0,0,1
1,1,1,1,0,128000.0,30.0,1.0,0,6091.0,21.0146117222131,1,0,0
1,1,0,1,1,66000.0,30.0,1.0,1,3000.0,22.0,0,0,1
1,1,0,0,0,120000.0,30.0,1.0,1,4941.0,24.286581663630844,0,0,1
1,0,0,1,0,141000.0,30.0,1.0,1,6000.0,23.5,0,0,1
1,1,2,1,1,261500.0,30.0,1.0,1,9613.0,27.202746281077708,0,0,1
1,1,0,0,0,95000.0,30.0,1.0,1,3849.0,24.68173551571837,0,0,1
1,1,3,1,0,158000.0,30.0,0.0,0,5540.0,28.51985559566787,0,1,0
1,1,2,1,0,168000.0,30.0,1.0,1,5532.0,30.36876355748373,0,0,1
1,1,1,1,0,261500.0,30.0,1.0,0,15914.375,16.431685190276088,0,1,0
1,1,2,1,0,70000.0,30.0,1.0,1,3900.0,17.94871794871795,0,0,1
1,1,2,1,0,109000.0,30.0,1.0,1,4340.0,25.11520737327189,0,0,1
1,1,2,1,0,200000.0,30.0,1.0,1,8816.125,22.685703753066115,0,0,1
1,0,0,1,0,114000.0,30.0,1.0,0,4693.0,24.291497975708502,1,0,0
1,1,2,1,0,17000.0,10.0,1.0,1,2385.0,7.127882599580713,0,0,1
1,0,0,1,0,125000.0,30.0,1.0,1,4950.0,25.252525252525253,0,0,1
1,0,1,0,0,100000.0,20.0,1.0,1,3596.0,27.808676307007786,0,0,1
0,0,0,1,0,76000.0,30.0,0.0,0,3510.0,21.65242165242165,0,0,1
1,1,0,0,0,133000.0,30.0,1.0,0,4887.0,27.215060364231636,1,0,0
1,1,0,1,0,115000.0,30.0,1.0,1,6100.0,18.852459016393443,0,0,1
1,1,0,0,0,104000.0,30.0,0.0,0,7660.0,13.577023498694517,0,0,1
1,1,1,1,0,261500.0,30.0,1.0,1,11580.0,22.58203799654577,0,0,1
1,1,0,0,0,116000.0,30.0,0.0,0,4511.0,25.71491908667701,0,1,0
1,1,2,0,0,112000.0,30.0,0.0,0,5282.0,21.204089360090876,1,0,0
1,1,1,1,0,151000.0,30.0,1.0,0,6642.0,22.73411623005119,0,1,0
1,1,0,1,1,191000.0,30.0,1.0,1,9560.0,19.97907949790795,0,1,0
1,1,0,1,0,122000.0,30.0,1.0,1,5052.0,24.14885193982581,0,1,0
1,1,2,0,0,110000.0,30.0,1.0,1,5266.0,20.888720091150777,0,0,1
1,0,0,0,0,35000.0,30.0,1.0,0,1442.0,24.271844660194176,0,0,1
0,0,2,1,0,120000.0,30.0,1.0,1,5833.0,20.5726041488085,0,1,0
1,1,1,1,0,201000.0,30.0,1.0,0,7535.0,26.675514266755144,0,0,1
1,0,0,1,0,74000.0,30.0,1.0,0,3167.0,23.365961477739184,0,0,1
1,0,1,1,1,106000.0,30.0,1.0,0,4692.0,22.59164535379369,1,0,0
1,1,0,1,0,114000.0,30.0,1.0,1,5167.0,22.063092703696537,0,1,0
1,0,3,1,0,261500.0,30.0,1.0,0,13171.25,19.85384834393091,1,0,0
1,1,0,1,0,128000.0,30.0,1.0,1,4342.0,29.47950253339475,0,0,1
1,1,0,1,0,100000.0,30.0,0.0,0,3158.0,31.665611146295124,0,0,1
0,1,0,1,0,144000.0,30.0,1.0,1,5126.0,28.092079594225517,0,1,0
1,0,0,1,0,184000.0,30.0,1.0,1,9909.125,18.568743456157833,0,0,1
1,0,0,0,0,110000.0,30.0,1.0,1,5416.0,20.31019202363368,0,1,0
1,0,0,1,0,80000.0,30.0,1.0,0,3600.0,22.22222222222222,0,0,1
1,0,0,1,0,47000.0,30.0,1.0,1,3013.0,15.599070693660803,0,0,1
1,1,0,1,0,75000.0,30.0,1.0,1,2400.0,31.25,0,0,1
1,1,0,1,0,134000.0,30.0,1.0,1,6277.0,21.347777600764697,0,1,0
1,1,0,0,1,96000.0,30.0,1.0,1,4695.0,20.447284345047922,0,0,1
0,0,0,1,0,88000.0,30.0,1.0,1,3410.0,25.806451612903224,0,0,1
1,1,1,1,0,44000.0,30.0,1.0,1,5649.0,7.788989201628607,0,0,1
1,1,0,1,0,144000.0,30.0,1.0,1,5821.0,24.738017522762412,0,0,1
0,1,0,1,0,120000.0,30.0,0.0,0,6085.0,19.72062448644207,0,0,1
0,0,0,1,0,144000.0,30.0,1.0,1,6275.0,22.948207171314742,0,1,0
0,1,0,0,0,100000.0,30.0,1.0,1,3572.0,27.99552071668533,0,1,0
0,0,0,1,0,120000.0,30.0,1.0,1,3086.0,38.8852883992223,0,1,0
0,0,0,1,0,112000.0,30.0,1.0,0,4230.0,26.47754137115839,0,1,0
1,1,2,1,0,134000.0,30.0,1.0,0,4616.0,29.02946273830156,0,0,1
0,1,1,1,1,261500.0,30.0,0.0,0,10171.25,25.709721027405678,0,0,1
1,1,2,1,0,97000.0,30.0,1.0,1,3875.0,25.032258064516128,0,1,0
1,1,0,1,0,96000.0,30.0,1.0,1,3723.0,25.785656728444803,0,1,0
1,1,0,1,0,135000.0,30.0,1.0,0,5566.0,24.254401724757457,1,0,0
1,1,1,1,0,180000.0,30.0,1.0,1,10330.0,17.424975798644724,0,0,1
1,1,2,0,0,144000.0,30.0,1.0,1,6216.0,23.166023166023166,0,0,1
1,1,0,1,0,120000.0,30.0,1.0,1,6296.0,19.05972045743329,0,0,1
1,1,3,1,0,99000.0,30.0,1.0,1,3029.0,32.684054143281614,0,0,1
1,1,0,0,1,165000.0,15.0,0.0,0,6058.0,27.23671178606801,1,0,0
1,1,1,1,0,128000.0,30.0,0.0,0,4945.0,25.88473205257836,1,0,0
0,0,0,1,0,116000.0,30.0,0.0,0,4166.0,27.84445511281805,0,1,0
1,1,0,1,0,258000.0,30.0,1.0,0,10321.0,24.997577754093594,0,1,0
1,0,0,0,0,126000.0,15.0,0.0,0,5454.0,23.102310231023104,0,0,1
1,1,1,1,0,261500.0,30.0,1.0,1,10171.25,25.709721027405678,0,0,1
1,1,3,0,1,125000.0,5.0,1.0,1,7100.0,17.6056338028169,0,0,1
0,0,0,1,0,136000.0,30.0,0.0,0,4300.0,31.627906976744185,0,1,0
1,1,0,1,0,172000.0,30.0,1.0,1,6274.0,27.41472744660504,0,0,1
1,1,2,0,1,97000.0,30.0,1.0,1,3750.0,25.866666666666667,0,1,0
1,0,0,1,0,81000.0,25.0,1.0,1,3500.0,23.142857142857142,0,1,0
1,1,3,0,0,95000.0,30.0,0.0,0,4755.0,19.978969505783386,0,1,0
1,1,3,1,1,187000.0,30.0,1.0,1,7040.0,26.5625,0,1,0
1,0,0,1,0,113000.0,40.0,1.0,0,3750.0,30.133333333333333,0,0,1
1,0,0,1,0,176000.0,30.0,1.0,0,8500.0,20.705882352941178,0,0,1
1,1,1,1,1,110000.0,30.0,1.0,0,4022.0,27.349577324714073,0,0,1
1,1,3,1,0,180000.0,25.0,0.0,0,7167.0,25.115110925073253,0,1,0
1,1,3,0,1,130000.0,30.0,1.0,1,5499.0,23.64066193853428,0,1,0
0,0,0,1,0,111000.0,30.0,1.0,1,3846.0,28.861154446177846,0,1,0
1,1,1,1,1,128000.0,30.0,1.0,1,2395.0,53.4446764091858,0,1,0
0,1,2,1,0,167000.0,30.0,1.0,0,3259.0,51.2427124884934,0,0,1
1,1,0,1,0,261500.0,30.0,1.0,0,8250.0,31.696969696969695,0,1,0
1,1,1,1,0,50000.0,20.0,1.0,1,3988.0,12.537612838515546,0,0,1
1,0,0,1,0,136000.0,30.0,1.0,1,4897.0,27.77210537063508,0,1,0
1,1,2,0,0,99000.0,30.0,1.0,1,5333.0,18.5636602287643,0,1,0
1,1,0,1,0,104000.0,30.0,1.0,1,4618.0,22.52057167605024,0,1,0
1,0,0,1,0,210000.0,30.0,1.0,1,8566.0,24.515526500116742,0,0,1
1,1,0,1,0,175000.0,30.0,1.0,1,9862.0,17.744879334820524,0,1,0
1,1,0,1,0,131000.0,30.0,1.0,1,5858.0,22.362581085694778,0,1,0
1,1,2,1,0,188000.0,15.0,1.0,1,11904.0,15.793010752688172,0,1,0
1,1,2,0,0,81000.0,30.0,1.0,1,5093.0,15.904182210877675,0,0,1
1,0,0,1,0,122000.0,30.0,1.0,1,4133.0,29.518509557222355,0,1,0
1,0,0,0,0,25000.0,10.0,1.0,1,3620.0,6.906077348066298,0,1,0
1,0,0,1,0,128000.0,30.0,1.0,0,6782.0,18.873488646416988,0,0,1
0,1,0,1,0,137000.0,30.0,1.0,1,4786.0,28.625156707062263,0,1,0
1,1,0,1,0,50000.0,30.0,1.0,1,2974.0,16.812373907195695,0,1,0
1,1,0,0,0,115000.0,15.0,1.0,1,4188.0,27.45940783190067,0,1,0
1,1,0,1,0,131000.0,30.0,1.0,1,5300.0,24.71698113207547,0,1,0
1,1,2,0,0,133000.0,15.0,1.0,1,7551.0,17.61356111773275,0,0,1
1,0,0,1,0,151000.0,30.0,1.0,1,8649.0,17.458665741704245,0,1,0
1,1,0,1,0,128000.0,30.0,1.0,1,10171.25,12.584490598500675,0,0,1
1,1,0,1,0,128000.0,30.0,1.0,1,8235.0,15.54341226472374,0,1,0
1,1,0,1,0,160000.0,30.0,1.0,1,4570.0,35.010940919037196,0,0,1
1,1,1,1,0,100000.0,30.0,1.0,1,4082.0,24.49779519843214,0,0,1
1,1,2,1,0,225000.0,30.0,1.0,1,11297.25,19.916351324437365,0,0,1
1,0,0,0,0,120000.0,30.0,1.0,0,7333.0,16.36438019909996,1,0,0
1,1,2,1,0,216000.0,30.0,0.0,0,7400.0,29.18918918918919,0,0,1
1,1,3,0,0,94000.0,40.0,1.0,1,2825.0,33.27433628318584,0,1,0
1,0,0,1,0,136000.0,30.0,1.0,1,5316.0,25.583145221971407,0,0,1
0,1,0,1,0,139000.0,30.0,1.0,1,5262.0,26.415811478525274,0,1,0
1,1,0,0,0,152000.0,30.0,0.0,0,7686.0,19.776216497527972,1,0,0
0,0,1,1,1,128000.0,30.0,1.0,1,7451.0,17.17890216078379,0,1,0
1,0,0,1,0,118000.0,30.0,1.0,1,5050.0,23.366336633663366,0,1,0
1,1,1,1,0,185000.0,15.0,1.0,1,10171.25,18.188521568145507,1,0,0
0,1,0,1,0,154000.0,30.0,1.0,1,5450.0,28.256880733944953,0,1,0
1,1,1,1,0,85000.0,30.0,1.0,1,3612.0,23.53266888150609,0,0,1
1,1,0,1,0,175000.0,30.0,1.0,0,7710.0,22.69779507133593,1,0,0
0,0,0,1,0,259000.0,30.0,1.0,1,10171.25,25.463930195403712,0,0,1
1,1,0,1,0,180000.0,30.0,1.0,1,8334.0,21.598272138228943,1,0,0
0,0,0,1,0,44000.0,30.0,1.0,1,4166.0,10.561689870379261,0,1,0
0,0,0,1,0,137000.0,30.0,0.0,1,7880.125,17.385511016639963,0,1,0
1,1,2,1,0,81000.0,30.0,1.0,1,2957.0,27.392627663172135,0,1,0
1,1,0,0,0,194000.0,30.0,1.0,1,6314.0,30.725372188786825,1,0,0
0,0,0,1,0,93000.0,30.0,1.0,1,3692.0,25.189599133261105,1,0,0
1,1,3,1,0,261500.0,30.0,1.0,1,10171.25,25.709721027405678,1,0,0
1,0,0,1,0,128000.0,30.0,1.0,1,5505.0,23.251589464123523,1,0,0
1,1,1,1,1,160000.0,15.0,0.0,0,14021.25,11.411250780065972,0,0,1
1,1,0,1,0,182000.0,30.0,1.0,0,8649.0,21.042895132385247,1,0,0
1,0,0,1,1,261500.0,40.0,1.0,1,10171.25,25.709721027405678,0,0,1
1,0,0,1,0,74000.0,30.0,1.0,1,3943.0,18.76743596246513,0,0,1
1,0,0,1,0,70000.0,30.0,1.0,1,2718.0,25.754231052244297,0,1,0
1,1,0,1,1,25000.0,10.0,1.0,1,3459.0,7.227522405319457,0,1,0
1,0,0,1,0,102000.0,30.0,1.0,1,4895.0,20.83758937691522,0,1,0
1,1,3,1,0,261500.0,30.0,1.0,0,9743.125,26.839438065302456,0,1,0
0,1,0,1,0,84000.0,30.0,1.0,0,4583.0,18.328605716779403,1,0,0
1,1,2,1,1,88000.0,30.0,1.0,1,6816.0,12.910798122065728,0,0,1
1,0,0,1,0,242000.0,30.0,0.0,0,10171.25,23.79255253779034,0,1,0
1,1,2,0,0,129000.0,30.0,1.0,0,5630.0,22.912966252220247,1,0,0
1,1,2,1,0,185000.0,30.0,1.0,0,7125.0,25.964912280701753,1,0,0
1,0,0,1,0,168000.0,30.0,1.0,1,5417.0,31.013476093778845,0,0,1
1,0,0,1,1,175000.0,15.0,1.0,1,6950.0,25.179856115107913,0,1,0
1,1,0,1,0,122000.0,30.0,1.0,1,4732.0,25.78191039729501,0,1,0
1,1,2,1,0,187000.0,15.0,1.0,1,10171.25,18.38515423374708,0,0,1
0,1,0,1,0,100000.0,30.0,1.0,1,6816.0,14.671361502347418,0,1,0
0,1,2,1,0,70000.0,30.0,1.0,1,10171.25,6.882143296055057,0,0,1
1,1,1,1,0,30000.0,30.0,1.0,1,2963.0,10.12487343908201,0,0,1
0,0,0,1,0,225000.0,30.0,1.0,0,11666.0,19.286816389507973,1,0,0
1,1,0,1,0,125000.0,30.0,1.0,1,5690.0,21.968365553602812,0,1,0
1,0,0,1,0,118000.0,30.0,0.0,0,6277.0,18.798789230524136,1,0,0
1,1,0,1,1,152000.0,30.0,1.0,1,6327.0,24.024024024024023,1,0,0
1,0,0,1,0,244000.0,30.0,1.0,0,9166.0,26.620117826751038,0,0,1
1,1,2,0,0,113000.0,30.0,1.0,0,2281.0,49.53967558088558,1,0,0
1,0,0,1,0,50000.0,30.0,1.0,1,3254.0,15.365703749231715,0,0,1
1,1,3,1,0,261500.0,15.0,0.0,1,10171.25,25.709721027405678,0,1,0
1,1,1,1,0,160000.0,30.0,1.0,1,6000.0,26.666666666666668,1,0,0
1,1,1,1,0,187000.0,30.0,1.0,1,9538.0,19.605787376808554,0,0,1
1,0,0,1,0,120000.0,30.0,1.0,1,5063.0,23.70136282836263,1,0,0
1,1,0,1,0,255000.0,30.0,1.0,1,10208.0,24.980407523510973,0,1,0
1,1,0,0,0,98000.0,30.0,1.0,1,2904.0,33.7465564738292,0,1,0
1,1,0,1,0,261500.0,30.0,1.0,0,7933.0,32.96356989789487,0,0,1
1,1,1,1,0,121000.0,30.0,0.0,0,4369.0,27.695124742504007,0,1,0
1,1,2,1,0,158000.0,30.0,1.0,1,5614.0,28.14392589953687,1,0,0
1,1,0,1,0,75000.0,15.0,1.0,1,9323.0,8.04462083020487,0,0,1
1,1,0,1,0,182000.0,30.0,1.0,1,6873.0,26.480430670740578,1,0,0
0,1,0,1,0,112000.0,30.0,1.0,0,4583.0,24.43814095570587,1,0,0
1,1,0,1,0,129000.0,30.0,1.0,1,5772.0,22.34927234927235,1,0,0
1,0,0,1,0,63000.0,40.0,0.0,0,2237.0,28.162717925793473,0,1,0
1,1,2,1,0,200000.0,30.0,1.0,1,8000.0,25.0,0,1,0
1,1,0,0,0,95000.0,30.0,1.0,1,3589.0,26.469768737809975,1,0,0
1,1,3,1,0,261500.0,25.0,1.0,1,10171.25,25.709721027405678,0,0,1
1,1,3,0,0,81000.0,15.0,1.0,0,3522.0,22.998296422487222,1,0,0
1,1,0,1,0,187000.0,30.0,1.0,1,11333.0,16.500485308391422,0,1,0
1,1,0,0,1,87000.0,30.0,1.0,0,5080.0,17.125984251968504,0,1,0
1,1,0,1,0,116000.0,30.0,1.0,1,5461.0,21.241530855154732,1,0,0
1,1,2,1,0,101000.0,30.0,1.0,1,3664.0,27.565502183406114,1,0,0
1,1,3,1,0,261500.0,30.0,0.0,0,11259.125,23.225605897438744,0,1,0
1,1,1,1,0,116000.0,30.0,1.0,1,3750.0,30.933333333333334,0,1,0
1,0,0,0,0,102000.0,40.0,0.0,0,3784.0,26.955602536997887,0,0,1
1,1,1,1,0,180000.0,30.0,0.0,0,12143.125,14.823202429358176,0,0,1
1,0,0,1,0,67000.0,30.0,1.0,0,6979.0,9.60022925920619,1,0,0
1,1,0,1,0,73000.0,15.0,1.0,1,4600.0,15.869565217391305,0,1,0
1,1,1,1,0,260000.0,30.0,1.0,0,10171.25,25.562246528204497,0,1,0
0,1,0,1,0,108000.0,30.0,1.0,1,3625.0,29.79310344827586,0,1,0
1,1,0,1,1,120000.0,30.0,1.0,1,14921.25,8.042221663734606,0,1,0
1,1,1,1,1,66000.0,25.0,0.0,0,2178.0,30.303030303030305,1,0,0
1,1,0,1,0,58000.0,30.0,1.0,1,4521.0,12.829020128290201,1,0,0
1,1,0,1,1,168000.0,30.0,1.0,1,5970.0,28.14070351758794,1,0,0
1,1,0,1,0,188000.0,15.0,1.0,1,9328.0,20.154373927958833,1,0,0
1,0,0,0,0,48000.0,30.0,1.0,1,4885.0,9.825997952917094,1,0,0
1,0,0,1,0,164000.0,30.0,1.0,0,10171.25,16.12387857932899,0,1,0
1,1,0,0,0,160000.0,30.0,1.0,0,6033.0,26.52080225426819,0,0,1
1,0,0,1,0,76000.0,30.0,1.0,1,3858.0,19.699326075686884,0,1,0
1,0,0,1,0,120000.0,30.0,1.0,1,4191.0,28.63278453829635,1,0,0
1,1,1,1,0,170000.0,30.0,1.0,0,5708.0,29.782761037140855,0,1,0
1,0,0,1,0,187000.0,30.0,1.0,1,12083.0,15.476289001075891,1,0,0
0,0,0,0,0,120000.0,30.0,1.0,1,4272.0,28.089887640449437,0,0,1
0,1,0,1,0,113000.0,30.0,1.0,1,6232.0,18.13222079589217,0,1,0
1,0,0,1,1,83000.0,30.0,1.0,0,10171.25,8.160255622465282,0,0,1
1,1,1,0,0,90000.0,30.0,1.0,1,5100.0,17.647058823529413,0,1,0
1,0,2,1,0,166000.0,30.0,0.0,1,4923.0,33.719276863701,0,1,0
